divorce	sich scheiden
lifestyle	der Lebenstil
grow up	aufwachsen
passion	die Leidenschaft
business, work	der Betrieb
indeed	allerdings
raise, bring up	erziehen
allow	zulassen
complete, lock, end, finish	abschliessen
hectic	hektisch
reputation, call	der Ruf
as, when	als
suddenly	plötzlich
nevertheless, yet, though	trotzdem
give up	aufgeben
different	unterschiedlich
successful	erfolgreich
look	aussehen
famous	berühmt
but	doch
appearance, entrance	der Auftritt
earn	verdienen
livelihood	der Lebensunterhalt
take part	teilnehmen
step	der Schritt
ethnology	die Völkerkunde
thirst for adventure	die Abenteuer
indeed	tatsächlich
style	der Stil
extreme experience	die Grenzerfahrung
adventure	das Abenteuer
explore, travel	entdecken
saying	das Sprichwort
female writer	die Autorin
become	werden
get	bekommen
unwritten	ungeschrieben
the law	das Gesetze
similar	ähnlich
interest	das Interesse
box	die Sachtel
snow peas	 die Kefen
spelling	die Schreibweise
especially	insbesondere
niece	die Nichte
attempt	versuchen
instruction, training	die Ausbildung
education, culture	die Bildung
cool down	sich abkühlen
prohibit, ban	verbieten
order	bestellen
savor, enjoy	geniessen
treat yourself	gönnen sich
stuffed	satt
shop	das Geschäft
jail	das Gefägnis
assumption	die Annahme
assume	annehmen
season (show)	die Staffel
episode	die Episode
tv show	die Serie
opinon, mindset	die Meinung
supernatural	übernatürlich
confusion	die Verwirrung
bewilder, confound	verwirren
pray	beten
market, farmer's market	der Markt
show off	angeben
to put make up on	sich schminken
jewelry	der Schmuck
dirt	der Schmutz
feel	sich fühlen
cheat	schummeln
vacation	der Urlaub
participate	beteiligen
expensive	teure
strict	streng
your own	eigen
watch	sich schauen
task, job	die Aufgabe
leading, prominent	führend
society	die Gesellschaft
male/female artist	der Künstler/die Künstlerin
promote, support	fördern
gender equality	die Geschlechtergleichheit
balanced	augewogen
lose weight	abnehmen
weight	das Gewicht
binge	bingen
slide	die Rutschbahn
ask, request	bitten
ride an animal (for other than a horse, state the animal)	reiten
time	die Zeit
hair	das Haar
dry	trocken
stew	der Eintopf
save up	sparen
nephew	der Neffe
relationship	die Beziehung
single parent	alleinerziehend
disillusionment	dieErnüchterung
to slide	rutschen
